,precision,recall,f1-score,support
1,0.9417773237997957,0.6953242835595776,0.8,1326.0
2,0.8959760273972602,0.5611260053619302,0.6900758325090669,3730.0
3,0.5870445344129555,0.6904761904761905,0.6345733041575492,420.0
4,0.5751196172248804,0.9804241435562806,0.7249698431845597,613.0
5,0.9925925925925926,0.9962825278810409,0.9944341372912802,269.0
6,0.39191919191919194,0.7713717693836978,0.5197588747488279,1006.0
7,0.4826254826254826,0.9398496240601504,0.6377551020408163,266.0
8,0.8080536912751678,0.8168249660786974,0.8124156545209177,737.0
9,1.0,1.0,1.0,189.0
accuracy,0.7002103786816269,0.7002103786816269,0.7002103786816269,0.7002103786816269
macro avg,0.7416787179163696,0.8279643900397295,0.7571091942725575,8556.0
weighted avg,0.7905664336943542,0.7002103786816269,0.7121883546435921,8556.0
